CME,onset_time_utc,duration_hr,principal_angle_deg,angular_width_deg,median_velocity_kms,velocity_std_kms,min_velocity_kms,max_velocity_kms,halo_class,halo_confidence,source_file
145,2024/08/28 04:12,6,73,136,644,216,233,1201,II,Low,2024_aug.txt
128,2024/08/24 18:48,2,15,116,259,55,152,411,II,Low,2024_aug.txt
121,2024/08/22 15:37,4,353,112,291,149,144,856,II,Low,2024_aug.txt
118,2024/08/22 08:36,5,187,288,1644,778,176,1953,IV,High,2024_aug.txt
117,2024/08/22 06:48,1,326,98,414,51,336,568,II,Low,2024_aug.txt
101,2024/08/20 11:48,1,240,110,469,153,206,822,II,Low,2024_aug.txt
64,2024/08/14 07:00,9,260,118,323,90,110,496,II,Low,2024_aug.txt
38,2024/08/09 21:48,0,254,114,490,128,161,801,II,Low,2024_aug.txt
35,2024/08/08 19:48,2,207,152,413,120,195,704,II,Low,2024_aug.txt
32,2024/08/07 19:24,2,148,102,296,87,184,473,II,Low,2024_aug.txt
22,2024/08/05 13:48,3,288,166,894,254,224,1275,II,Low,2024_aug.txt
7,2024/08/02 04:28,2,257,140,710,169,381,1120,II,Low,2024_aug.txt
190,2024/12/29 06:12,1,164,118,735,54,612,864,II,Low,2024_dec.txt
176,2024/12/27 04:28,3,136,122,925,398,214,1771,II,Low,2024_dec.txt
157,2024/12/25 08:00,1,115,92,595,65,422,762,II,Low,2024_dec.txt
126,2024/12/22 03:48,7,219,140,388,150,199,710,II,Low,2024_dec.txt
119,2024/12/21 20:00,3,9,228,781,535,221,1954,II,Low,2024_dec.txt
118,2024/12/21 18:12,3,202,94,269,190,156,781,II,Low,2024_dec.txt
76,2024/12/15 14:36,2,85,212,726,299,244,1562,II,Low,2024_dec.txt
68,2024/12/15 00:00,7,239,144,314,60,156,453,II,Low,2024_dec.txt
52,2024/12/11 21:24,2,153,168,480,92,233,651,II,Low,2024_dec.txt
31,2024/12/07 20:36,2,233,92,267,62,166,411,II,Low,2024_dec.txt
157,2024/11/29 18:12,3,277,104,1488,630,194,1953,II,Low,2024_nov.txt
136,2024/11/25 20:12,2,155,100,484,72,372,651,II,Low,2024_nov.txt
115,2024/11/21 19:00,8,173,292,1179,562,179,1953,IV,High,2024_nov.txt
112,2024/11/21 12:24,2,134,130,679,112,428,820,II,Low,2024_nov.txt
97,2024/11/18 17:00,4,111,100,325,103,174,525,II,Low,2024_nov.txt
77,2024/11/16 09:36,2,269,92,415,173,206,946,II,Low,2024_nov.txt
69,2024/11/14 20:12,2,139,104,281,71,153,496,II,Low,2024_nov.txt
59,2024/11/12 14:48,4,137,228,1644,267,919,1953,II,Low,2024_nov.txt
58,2024/11/12 13:36,3,310,118,619,120,347,868,II,Low,2024_nov.txt
